iter	Passed	Remaining
551	12215	9913
552	12230	9886
553	12248	9860
554	12264	9833
555	12286	9811
556	12302	9784
557	12326	9763
558	12343	9738
559	12360	9712
560	12380	9688
561	12398	9662
562	12416	9637
563	12434	9612
564	12455	9589
565	12477	9567
566	12494	9541
567	12526	9527
568	12543	9501
569	12561	9475
570	12579	9451
571	12597	9426
572	12619	9403
573	12631	9374
574	12648	9348
575	12663	9321
576	12687	9301
577	12710	9279
578	12726	9253
579	12743	9228
580	12761	9203
581	12789	9185
582	12808	9161
583	12824	9135
584	12846	9113
585	12861	9086
586	12887	9067
587	12907	9043
588	12923	9017
589	12943	8994
590	12959	8968
591	12982	8947
592	13001	8923
593	13020	8899
594	13041	8876
595	13057	8850
596	13074	8825
597	13099	8805
598	13118	8782
599	13137	8758
600	13153	8732
601	13174	8710
602	13189	8683
603	13223	8669
604	13241	8645
605	13260	8621
606	13276	8595
607	13296	8572
608	13313	8547
609	13333	8524
610	13349	8498
611	13375	8479
612	13395	8456
613	13411	8431
614	13436	8411
615	13456	8388
616	13473	8363
617	13493	8340
618	13509	8314
619	13527	8291
620	13545	8267
621	13568	8245
622	13588	8222
623	13605	8197
624	13623	8173
625	13640	8149
626	13660	8126
627	13676	8101
628	13705	8083
629	13724	8060
630	13741	8035
631	13758	8011
632	13774	7986
633	13797	7964
634	13815	7941
635	13835	7918
636	13854	7895
637	13870	7870
638	13887	7845
639	13903	7820
640	13922	7797
641	13938	7772
642	13965	7753
643	13985	7731
644	14001	7706
645	14019	7682
646	14035	7657
647	14055	7635
648	14081	7615
649	14099	7591
650	14121	7570
651	14137	7545
652	14164	7526
653	14200	7512
654	14217	7488
655	14234	7464
656	14252	7440
657	14269	7416
658	14293	7396
659	14313	7373
660	14329	7348
661	14349	7326
662	14365	7301
663	14384	7278
664	14402	7255
665	14418	7230
666	14440	7209
667	14456	7184
668	14477	7162
669	14492	7138
670	14510	7114
671	14534	7094
672	14551	7070
673	14572	7048
674	14589	7024
675	14609	7002
676	14624	6977
677	14649	6957
678	14673	6937
679	14699	6917
680	14716	6893
681	14734	6870
682	14755	6848
683	14783	6829
684	14806	6809
685	14831	6788
686	14852	6766
687	14872	6744
688	14888	6720
689	14912	6699
690	14935	6678
691	14952	6655
692	14973	6633
693	14987	6608
694	15008	6586
695	15027	6563
696	15045	6540
697	15066	6518
698	15084	6495
699	15107	6474
700	15128	6452
701	15144	6428
702	15175	6411
703	15196	6389
704	15212	6365
705	15230	6342
706	15246	6318
707	15266	6296
708	15283	6272
709	15307	6252
710	15325	6229
